0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.0,0.0,0.0,0.0,44.75,0.0,0.0,0.0,34.25,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.25,0.0,0.0,0.0,0.0
12.25,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,31.5,17.5,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,13.25,32.75,0.0,0.0,0.0,0.0,2.5,0.0,0.0,17.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,121.25,0.0,78.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,8.25,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,42.25,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,44.75,13.25,32.75,0.0,0.0,133.5,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,26.25,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,0.0,71.25,2.5,0.0,31.5,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,71.25,0.0,28.25,0.0,0.0,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,0.0,0.0,2.5,0.0,0.0,0.0,75.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,39.75,0.0,0.0,0.0,0.0,32.75,0.0,0.0,33.5,0.0,2.5,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,94.75,0.0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,44.75,0.0,0.0,0.0,34.25,0.0,71.25,0.0,0.0,31.5,67.5,0.0,0.0,30.0,11.25,0.0,0.0,8.25,0.0
0.0,39.75,0.0,44.0,0.0,13.25,32.75,0.0,0.0,0.0,0.0,2.5,28.25,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
12.25,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,0.0,30.0,11.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0,31.75,0.0,0.0,0.0,26.25,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,61.25,0.0,26.25,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,21.25,52.5,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,71.25,2.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,8.25,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,25.25,0.0,30.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5
0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,31.75,0.0,11.25,0.0,0.0,0.0,0.0
12.25,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,0.0,0.0
62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,33.5,21.25,0.0,0.0,0.0,67.5,25.25,0.0,0.0,0.0,0.0,26.25,0.0,0.0
62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,28.25,0.0,0.0,0.0,31.75,0.0,11.25,0.0,26.25,8.25,0.0
0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,2.5,28.25,0.0,17.5,25.25,0.0,0.0,0.0,0.0,0.0,8.25,0.0
62.25,0.0,0.0,44.0,0.0,0.0,82.75,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.0,31.75,0.0,0.0,0.0,0.0,0.0,42.5
0.0,0.0,0.0,0.0,0.0,13.25,32.75,0.0,0.0,0.0,0.0,2.5,0.0,0.0,17.5,75.25,0.0,30.0,11.25,0.0,0.0,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,28.25,0.0,17.5,0.0,31.75,0.0,0.0,0.0,0.0,0.0,0.0
112.25,0.0,0.0,0.0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,67.5,0.0,31.75,0.0,11.25,0.0,0.0,0.0,0.0
12.25,0.0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,2.5,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,26.25,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,78.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,2.5,0.0,31.5,0.0,0.0,0.0,0.0,0.0,42.75,0.0,8.25,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,31.5,0.0,0.0,31.75,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,44.75,0.0,0.0,0.0,34.25,33.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,8.25,42.5
62.25,0.0,0.0,0.0,0.0,63.25,0.0,42.25,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,31.75,30.0,0.0,0.0,0.0,0.0,42.5
62.25,0.0,0.0,44.0,0.0,163.25,0.0,0.0,34.25,0.0,0.0,52.5,0.0,31.5,17.5,75.25,31.75,30.0,11.25,0.0,26.25,108.25,0.0
12.25,0.0,44.75,0.0,44.75,0.0,82.75,0.0,0.0,33.5,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,2.5,78.25,0.0,17.5,0.0,0.0,0.0,11.25,0.0,0.0,8.25,0.0
62.25,0.0,0.0,0.0,0.0,0.0,82.75,42.25,84.25,33.5,0.0,0.0,28.25,31.5,17.5,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0
12.25,0.0,0.0,44.0,0.0,63.25,32.75,92.25,0.0,0.0,0.0,52.5,28.25,0.0,0.0,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0
12.25,39.75,0.0,0.0,0.0,63.25,132.75,0.0,84.25,33.5,0.0,52.5,0.0,0.0,67.5,0.0,0.0,0.0,61.25,0.0,26.25,0.0,0.0
62.25,0.0,94.75,94.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,2.5,28.25,31.5,17.5,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.25,0.0,0.0,21.25,2.5,0.0,81.5,0.0,0.0,0.0,0.0,61.25,0.0,0.0,58.25,0.0
62.25,0.0,44.75,94.0,0.0,13.25,32.75,0.0,0.0,0.0,21.25,2.5,178.25,0.0,117.5,0.0,31.75,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,44.0,0.0,113.25,82.75,42.25,134.25,0.0,121.25,0.0,78.25,0.0,17.5,25.25,81.75,30.0,11.25,0.0,0.0,8.25,42.5
112.25,0.0,0.0,94.0,0.0,113.25,132.75,0.0,0.0,33.5,21.25,2.5,28.25,0.0,67.5,25.25,31.75,30.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,102.5,0.0,31.5,0.0,0.0,0.0,30.0,0.0,0.0,76.25,0.0,0.0
112.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
12.25,39.75,44.75,44.0,0.0,13.25,32.75,0.0,34.25,33.5,21.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,0.0,0.0
0.0,0.0,44.75,0.0,0.0,113.25,32.75,42.25,84.25,0.0,121.25,52.5,0.0,0.0,0.0,0.0,31.75,30.0,11.25,42.75,0.0,58.25,0.0
0.0,0.0,0.0,44.0,0.0,13.25,82.75,0.0,0.0,33.5,21.25,0.0,0.0,81.5,0.0,0.0,31.75,30.0,0.0,0.0,0.0,58.25,0.0
0.0,0.0,44.75,0.0,0.0,0.0,0.0,0.0,34.25,0.0,21.25,0.0,28.25,0.0,0.0,0.0,31.75,0.0,11.25,0.0,26.25,0.0,0.0
62.25,0.0,44.75,94.0,0.0,13.25,82.75,0.0,0.0,0.0,121.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0
0.0,0.0,194.75,44.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,2.5,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,94.75,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,82.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,11.25,0.0,0.0,0.0,42.5
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,25.25,0.0,30.0,0.0,0.0,0.0,8.25,0.0
12.25,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.25,0.0,30.0,11.25,0.0,126.25,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,71.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0
12.25,39.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,28.25,0.0,17.5,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,21.25,102.5,28.25,0.0,17.5,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,28.25,31.5,17.5,25.25,0.0,30.0,0.0,0.0,26.25,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,75.25,31.75,0.0,11.25,0.0,26.25,0.0,0.0
0.0,0.0,44.75,0.0,0.0,0.0,32.75,0.0,0.0,83.5,21.25,52.5,0.0,31.5,17.5,25.25,0.0,0.0,11.25,42.75,0.0,0.0,0.0
12.25,0.0,44.75,0.0,0.0,13.25,0.0,42.25,0.0,33.5,0.0,0.0,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,63.25,0.0,0.0,0.0,33.5,21.25,0.0,28.25,0.0,67.5,0.0,0.0,0.0,61.25,0.0,26.25,0.0,0.0
0.0,0.0,0.0,0.0,0.0,63.25,0.0,0.0,0.0,33.5,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,63.25,32.75,0.0,34.25,33.5,0.0,0.0,0.0,0.0,117.5,0.0,31.75,30.0,0.0,0.0,26.25,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,82.75,0.0,84.25,33.5,0.0,0.0,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25,92.5
0.0,0.0,0.0,0.0,44.75,0.0,0.0,0.0,0.0,33.5,0.0,2.5,0.0,0.0,17.5,0.0,0.0,30.0,0.0,0.0,0.0,8.25,42.5
0.0,0.0,44.75,44.0,44.75,0.0,0.0,42.25,0.0,0.0,0.0,2.5,0.0,0.0,17.5,0.0,0.0,0.0,11.25,0.0,0.0,8.25,0.0
0.0,0.0,0.0,94.0,0.0,13.25,0.0,0.0,0.0,33.5,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0
0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,17.5,0.0,0.0,30.0,0.0,0.0,0.0,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,31.75,0.0,61.25,0.0,0.0,108.25,0.0
12.25,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,75.25,31.75,0.0,11.25,0.0,0.0,58.25,0.0
62.25,0.0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,25.25,0.0,0.0,11.25,0.0,0.0,0.0,0.0
112.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,25.25,31.75,0.0,0.0,0.0,26.25,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,31.5,0.0,25.25,0.0,0.0,0.0,0.0,0.0,8.25,0.0
12.25,0.0,0.0,94.0,0.0,13.25,0.0,0.0,134.25,0.0,0.0,0.0,0.0,0.0,0.0,25.25,31.75,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,44.0,0.0,13.25,0.0,0.0,0.0,0.0,21.25,0.0,28.25,0.0,0.0,25.25,0.0,80.0,11.25,0.0,0.0,8.25,0.0
12.25,0.0,0.0,0.0,0.0,13.25,0.0,42.25,0.0,0.0,71.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5
12.25,0.0,44.75,0.0,0.0,13.25,32.75,0.0,0.0,0.0,0.0,52.5,28.25,0.0,0.0,0.0,31.75,30.0,0.0,0.0,26.25,8.25,0.0
162.25,0.0,44.75,94.0,0.0,63.25,32.75,0.0,0.0,33.5,21.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,61.25,0.0,0.0,58.25,0.0
0.0,0.0,0.0,144.0,0.0,13.25,32.75,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,25.25,0.0,0.0,0.0,0.0,26.25,8.25,0.0
0.0,0.0,44.75,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,26.25,8.25,0.0
0.0,39.75,0.0,0.0,0.0,63.25,0.0,0.0,0.0,0.0,0.0,2.5,78.25,0.0,17.5,0.0,0.0,0.0,61.25,0.0,0.0,58.25,0.0
62.25,89.75,0.0,44.0,0.0,0.0,32.75,0.0,84.25,0.0,0.0,102.5,0.0,0.0,67.5,25.25,31.75,30.0,11.25,0.0,76.25,8.25,42.5
62.25,39.75,144.75,44.0,0.0,13.25,32.75,0.0,34.25,33.5,71.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5
0.0,0.0,0.0,94.0,44.75,0.0,0.0,42.25,134.25,0.0,71.25,2.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,26.25,108.25,0.0
12.25,0.0,44.75,44.0,0.0,63.25,82.75,0.0,0.0,0.0,0.0,0.0,28.25,31.5,0.0,125.25,31.75,30.0,11.25,0.0,26.25,8.25,92.5
0.0,39.75,44.75,0.0,44.75,0.0,0.0,0.0,0.0,0.0,71.25,52.5,128.25,31.5,67.5,25.25,0.0,0.0,0.0,0.0,26.25,0.0,42.5
112.25,39.75,44.75,94.0,94.75,163.25,0.0,92.25,0.0,33.5,71.25,102.5,28.25,0.0,17.5,75.25,81.75,30.0,0.0,0.0,26.25,58.25,0.0
62.25,0.0,144.75,144.0,0.0,163.25,82.75,0.0,84.25,33.5,0.0,2.5,0.0,81.5,0.0,0.0,0.0,0.0,0.0,42.75,126.25,8.25,42.5
12.25,0.0,44.75,0.0,0.0,13.25,32.75,0.0,0.0,133.5,71.25,2.5,28.25,31.5,17.5,25.25,0.0,30.0,11.25,0.0,76.25,8.25,0.0
62.25,0.0,144.75,94.0,0.0,213.25,132.75,0.0,34.25,33.5,0.0,2.5,78.25,31.5,0.0,0.0,0.0,0.0,11.25,0.0,26.25,0.0,0.0
162.25,39.75,44.75,44.0,0.0,113.25,82.75,0.0,34.25,0.0,121.25,2.5,78.25,31.5,17.5,0.0,0.0,0.0,11.25,0.0,126.25,8.25,0.0
62.25,0.0,144.75,94.0,0.0,63.25,82.75,0.0,0.0,0.0,71.25,2.5,78.25,31.5,17.5,25.25,81.75,30.0,61.25,0.0,26.25,8.25,0.0
62.25,39.75,244.75,144.0,44.75,113.25,32.75,0.0,0.0,33.5,21.25,2.5,0.0,31.5,0.0,25.25,0.0,30.0,0.0,0.0,0.0,8.25,0.0
0.0,0.0,0.0,0.0,0.0,63.25,0.0,0.0,34.25,83.5,0.0,2.5,78.25,0.0,0.0,0.0,31.75,0.0,0.0,0.0,0.0,58.25,42.5
12.25,39.75,44.75,0.0,44.75,13.25,0.0,0.0,84.25,0.0,71.25,0.0,0.0,31.5,0.0,0.0,0.0,0.0,11.25,42.75,0.0,8.25,42.5
