closeness_centrality,eigenvector_centrality,betweenness_centrality,harmonic_centrality,load_centrality,degrees,average_shortest_path,average_clustering,omega,sigma,density,neuron
0.39233716475095776,0.28337304261717183,0.04331063938728732,0.4257425742574263,0.043216282780092624,4,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N1
0.4263322884012539,0.32303335682909323,0.11227818542779931,0.4851485148514857,0.11505754426183801,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N2
0.7157502329916124,0.6918216155703881,0.284379022556929,0.7425742574257428,0.2821140352235939,8,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N3
0.5382674516400338,0.539584967990371,0.11446462773633258,0.5841584158415846,0.1152124413327344,6,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N4
0.4991789819376027,0.45625440382329746,0.050132339389911046,0.5247524752475251,0.05043448628386437,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N5
0.8762677484787019,0.8637665839011083,0.6217812587706154,0.8811881188118812,0.6202388512833225,10,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N6
0.7157502329916124,0.7448278716734351,0.21973109144814837,0.7425742574257428,0.2172121625180068,8,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N7
0.46190858059342427,0.4092933438386603,0.08343463849362873,0.5049504950495054,0.08894189810870676,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N8
0.6678765880217786,0.6236097248557824,0.33476419418469955,0.722772277227723,0.3396582970616025,8,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N9
0.4991789819376027,0.36532218396615,0.13628611704542473,0.5247524752475251,0.14300097585154667,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N10
0.4991789819376027,0.36988227320427025,0.12084903927724966,0.5247524752475251,0.13618550473210553,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N11
0.9362591431556948,1.0,0.7153880219534712,0.9801980198019801,0.7108226583435309,12,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N12
1.0,0.9414886093078713,1.0,1.0,1.0,12,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N13
0.2988505747126436,0.28929192544302895,0.011806788466079536,0.32673267326732747,0.0118960950448427,3,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N14
0.39233716475095776,0.28665609429816585,0.06177216317061169,0.4257425742574263,0.0641273873511052,4,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N15
0.5793103448275864,0.3320094519149062,0.5233031021243475,0.5643564356435645,0.5338372651373162,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N16
0.46190858059342427,0.3386253769703726,0.0719252061815097,0.46534653465346576,0.07695286482132621,4,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N17
0.6678765880217786,0.6352843719102775,0.16726442674265415,0.6831683168316833,0.16944190585356028,7,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N18
0.0,0.0,0.0,0.0,0.0,1,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N19
0.5382674516400338,0.43724696893364373,0.014692892313343423,0.5049504950495052,0.014777180563515544,4,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N20
0.39233716475095776,0.4026091793866984,0.06338933540899591,0.4752475247524757,0.06852646416456265,5,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N21
0.4991789819376027,0.31478363919479285,0.296055419554427,0.5643564356435647,0.3062315091621617,6,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N22
0.21636240703177825,0.14637096777976727,0.0,0.22772277227722842,0.0,2,1.9051383399209487,0.398541313758705,0.13207239195427412,1.1575566549632939,0.2648221343873518,N23
